Tahlia;0;0;5;0;0;0;0;0;5;0;0;0;
Martina;15;11;6;5;0;0;9;0;0;0;5;0;
Kora;0;0;0;0;0;6;0;0;0;0;0;0;
Sawyer;0;0;0;0;0;0;0;0;0;5;5;11;
Rheanna;5;0;0;0;0;0;0;0;0;0;0;0;
Bethany;21;21;16;15;13;21;18;6;11;12;13;12;
Alessandra;0;0;0;0;5;0;9;0;0;5;5;13;
Angelica;11;17;11;8;14;11;7;8;9;9;12;7;
Marika;0;5;0;0;0;0;0;0;0;0;0;0;
Jaedyn;0;0;5;0;0;0;0;0;0;0;0;0;
Arielle;7;0;6;8;0;9;6;8;8;8;6;12;
Brooklynne;0;0;0;0;0;0;0;0;0;0;5;0;
Ariella;0;0;0;0;0;0;0;0;6;0;0;9;
Mannat;0;0;0;0;0;8;19;23;17;20;21;22;
Kayleigh;13;9;7;7;12;15;13;10;10;11;11;9;
Arya;0;0;0;0;0;0;0;0;0;0;10;29;
Tatum;5;6;0;8;10;9;10;0;0;5;5;9;
Milan;0;0;0;5;0;0;0;0;0;0;0;0;
Jaime;11;18;6;8;10;6;10;10;12;0;0;0;
Phoebe;12;8;0;7;15;10;12;11;11;10;8;13;
Tayla;0;0;0;0;0;7;8;6;0;7;8;0;
Annabelle;12;10;5;12;18;14;20;17;21;42;33;33;
Annabella;0;0;6;0;9;0;6;0;13;10;8;0;
Syra;0;0;0;0;0;0;0;0;6;0;0;0;
Lilli;0;0;0;0;0;0;0;0;5;0;0;0;
Emilia;0;9;7;8;15;13;12;9;15;17;9;31;
Emmeline;0;0;0;0;0;0;0;0;0;0;0;5;
Amanda;75;63;47;49;44;26;39;29;25;15;9;14;
Emilie;15;12;12;16;14;8;9;7;5;11;6;6;
Livia;11;0;0;5;6;6;14;11;14;0;9;15;
Harveen;7;7;0;0;0;0;5;7;0;5;7;0;
Jasmin;17;17;11;15;7;13;15;9;19;8;6;8;
Lilly;0;0;0;8;6;13;10;17;25;23;20;14;
Shirley;0;0;6;8;0;0;0;0;0;0;5;0;
Kianna;8;15;10;17;8;7;12;10;16;9;14;6;
Prisha;0;0;0;0;0;5;0;0;0;0;0;0;
Jaelyn;0;0;5;0;5;6;6;10;6;0;0;7;
Monica;12;15;10;18;12;9;8;10;10;0;7;9;
Amneet;0;5;0;0;0;0;0;0;0;0;0;0;
Bridget;6;14;9;7;12;8;8;0;0;8;0;0;
Leanna;0;0;0;0;0;0;8;0;0;5;0;7;
Leanne;7;9;5;5;9;0;8;0;6;5;8;7;
Eve;9;9;10;11;9;11;11;9;15;9;13;12;
Marie;11;16;6;5;9;0;10;6;11;5;8;5;
Alexa;27;32;41;42;35;45;39;45;54;52;59;50;
Eva;14;18;18;18;38;41;47;48;57;57;48;55;
Aryanna;0;0;0;0;0;0;6;0;5;0;5;0;
Marin;0;0;0;7;0;5;0;9;6;0;11;7;
Poppy;0;0;0;0;0;6;6;6;7;8;11;17;
Annika;27;27;44;32;43;34;36;27;35;26;36;28;
Neveah;0;0;0;0;0;0;0;0;0;6;0;0;
Jasneet;9;0;0;0;0;5;0;0;0;0;0;0;
Rita;0;0;5;0;0;0;0;0;0;0;0;0;
Regan;5;9;5;7;5;0;5;0;0;0;5;0;
Samara;0;6;10;6;8;13;8;9;11;12;8;12;
Ma;0;0;0;0;0;0;0;0;0;15;7;8;
Ana;8;12;11;9;9;12;11;5;9;12;12;8;
Tayler;5;12;0;6;5;7;0;0;0;0;0;0;
Manroop;0;0;0;0;0;5;8;0;5;5;0;0;
Adalyn;0;0;0;0;0;0;0;0;0;0;7;9;
Pavneet;5;0;5;0;0;0;0;6;0;0;5;0;
Ann;0;0;0;0;5;0;0;0;0;0;0;0;
Aubrie;0;0;0;0;0;0;0;0;0;5;0;0;
Aleena;0;0;12;0;6;5;6;0;0;0;7;7;
Aiyana;0;0;0;5;0;0;0;5;0;0;6;0;
Mataya;0;0;0;9;0;0;0;0;8;0;6;0;
Kennedi;0;0;0;0;0;0;5;0;0;0;0;0;
Clarissa;5;0;0;0;0;8;6;0;0;5;0;0;
Kaidence;0;0;0;0;0;0;0;6;0;0;0;0;
Isis;0;0;0;0;0;5;0;0;6;0;5;0;
Jazmine;0;0;5;0;7;5;0;5;0;0;0;0;
Farrah;0;0;0;0;0;0;6;0;0;0;9;14;
Jaclyn;5;8;0;0;7;6;0;0;0;0;0;6;
Reina;0;0;0;0;0;0;0;0;6;0;5;8;
Vivienne;0;0;0;0;0;0;0;5;0;11;9;11;
Savanna;8;6;5;10;10;17;6;19;11;9;10;11;
Lauryn;12;13;14;7;10;6;9;9;8;11;9;0;
Vanessa;35;49;44;48;41;34;35;35;28;27;32;28;
Lylah;0;0;0;0;0;0;0;0;5;0;0;0;
Amelia;14;39;44;57;59;53;57;62;62;102;90;96;
Jaidyn;0;0;5;5;0;0;5;6;5;6;0;0;
Amelie;0;12;17;14;6;9;8;5;7;9;6;17;
Avery;21;33;43;54;52;63;71;90;102;103;104;138;
Haylee;9;0;12;10;9;12;6;16;15;7;13;8;
Madelyn;7;8;16;20;18;10;22;39;34;23;25;25;
Parneet;6;6;7;0;10;9;8;7;8;9;6;7;
Memphis;0;0;0;0;0;0;0;0;0;0;0;5;
Averi;0;0;0;0;0;0;0;0;0;5;0;0;
Ailish;0;0;0;0;0;0;0;0;5;0;0;0;
Ashleigh;11;9;12;9;5;7;0;0;8;0;7;0;
Ryann;0;0;6;5;5;0;0;5;5;0;0;77;
Angel;22;23;10;16;17;12;21;10;11;25;19;16;
Eileen;8;0;0;5;0;0;0;0;0;0;0;0;
Kalia;0;0;0;0;0;0;0;0;0;0;8;6;
Penny;0;0;0;0;0;0;0;0;0;0;5;7;
Macie;0;0;0;0;6;0;0;0;0;0;0;0;
Olivia;178;164;208;184;202;198;211;210;243;296;245;274;
Evelyn;7;13;21;25;14;23;34;26;44;46;60;68;
Aspen;0;0;5;0;0;0;0;0;0;6;0;5;
Hailey;104;83;111;124;112;84;85;103;83;89;97;88;
Kim;0;0;0;0;0;6;0;0;0;0;0;0;
Sadie;16;19;17;33;42;40;60;51;45;38;49;38;
Hailee;6;7;11;0;16;9;6;0;0;5;0;7;
Janice;9;10;7;0;5;0;8;7;8;0;0;7;
Kirsten;26;13;18;15;19;9;7;9;0;0;0;6;
Cordelia;0;0;0;0;0;0;0;0;0;0;6;0;
Sienna;14;17;16;12;39;74;71;62;79;67;65;53;
Mira;0;11;0;9;9;10;10;15;10;10;10;14;
Trinity;38;39;52;51;42;39;27;30;21;31;18;16;
Jamie;30;26;35;19;17;10;10;10;18;19;11;14;
Talia;28;16;20;26;22;22;22;22;21;14;27;22;
Sana;0;0;0;0;0;0;0;6;0;8;0;0;
Eliza;9;0;5;5;6;9;6;5;6;13;12;12;
Tabitha;0;5;0;0;0;0;0;7;5;0;0;5;
Nevada;0;0;5;0;0;0;0;0;0;0;0;0;
Marlee;0;0;5;0;0;0;6;11;5;5;5;0;
Halle;11;16;14;11;14;11;14;13;12;16;11;18;
Lyla;0;0;0;0;0;7;9;12;18;30;36;23;
Morgan;69;58;48;55;49;46;47;43;52;32;33;23;
Francesca;6;0;8;6;6;6;9;8;6;6;14;7;
Alisa;0;5;0;0;0;0;0;8;6;0;5;5;
Wendy;0;6;5;0;6;0;0;0;0;0;0;0;
Alexus;0;0;0;0;0;0;0;0;9;0;0;0;
Raelynn;0;0;0;0;0;0;0;0;0;0;0;5;
Joanne;7;9;7;5;0;8;9;5;6;0;0;6;
Avah;0;0;0;0;0;0;0;0;6;0;0;0;
Tea;5;0;0;0;0;0;0;0;0;0;0;0;
Hayley;30;42;36;22;18;25;24;21;22;15;16;11;
Alettalynn;0;0;0;0;0;0;0;0;0;1;0;0;
Sage;14;20;7;12;15;25;18;13;17;14;14;11;
Alaina;0;0;0;0;0;0;0;5;9;8;8;0;
Selah;0;0;0;0;0;0;0;5;0;0;0;0;
Darian;6;0;0;0;0;0;0;0;0;0;0;0;
Camille;8;11;10;12;13;5;0;5;9;7;15;8;
Ellen;8;10;0;0;11;0;5;0;6;0;9;5;
Florence;0;0;0;0;0;0;0;0;5;0;0;9;
Madisen;5;0;0;0;5;5;0;0;0;0;0;0;
Camilla;0;0;0;0;5;0;0;0;5;5;7;0;
Iman;0;0;6;0;0;0;7;0;0;0;0;0;
Priyanka;0;0;0;0;6;0;0;0;0;0;0;0;
Nina;19;14;11;11;20;15;14;19;25;12;18;29;
Makenzie;9;0;0;9;6;8;0;5;11;14;12;6;
Adelina;0;0;0;0;0;5;0;0;0;0;0;0;
Brianne;10;6;6;7;8;5;0;5;0;0;0;6;
Tasha;6;0;0;0;7;7;0;0;0;0;0;0;
Adeline;0;0;0;0;5;0;0;0;8;6;8;5;
Prabhnoor;0;0;0;0;5;0;0;0;0;0;5;5;
Aya;0;0;0;0;0;7;9;10;0;6;6;8;
Tina;8;15;9;9;6;0;6;10;9;5;5;0;
Leighton;0;0;0;0;0;0;0;0;12;0;9;0;
Philippa;0;0;0;0;0;0;0;0;0;0;5;0;
Kylee;0;12;8;13;13;11;12;10;10;0;12;11;
Charis;0;5;0;0;0;0;0;6;0;0;5;0;
Gwen;0;0;0;0;0;0;0;0;0;7;0;0;
Bailey;0;28;24;10;18;18;18;26;25;19;21;21;
Meaghan;9;0;6;0;0;5;0;0;0;0;0;0;
Bailee;31;0;0;0;0;0;0;0;0;0;0;0;
Shaina;0;0;0;0;0;7;0;0;0;0;0;0;
Prabhleen;0;0;5;0;0;0;0;5;0;0;0;5;
Tatianna;0;0;5;0;0;0;0;0;0;0;0;0;
Rebekah;11;20;12;9;11;9;12;5;0;8;5;8;
Paisley;0;0;0;5;0;0;5;5;13;15;14;25;
Rianna;8;6;0;0;0;7;7;5;0;0;0;0;
Ravleen;0;0;0;0;5;7;0;0;0;7;0;0;
Mina;0;8;0;0;5;0;6;9;5;5;9;12;
Evangeline;0;0;0;0;7;12;25;18;23;22;23;20;
