Johan;0;0;0;0;0;0;0;0;0;0;0;5;
Shane;19;22;20;10;13;17;21;13;17;7;16;9;
Alejandro;0;7;0;0;8;0;5;7;0;7;6;0;
Eric;90;105;96;82;63;75;60;56;46;63;49;42;
Daxton;0;0;0;0;0;0;0;0;0;10;12;10;
Izaiah;0;0;0;0;0;0;0;0;5;0;0;0;
Emmanuel;9;5;6;0;0;6;6;8;12;9;8;9;
Harrison;22;28;16;18;28;14;26;21;18;13;35;37;
Aditya;0;0;0;0;5;0;0;0;0;0;0;5;
Brandon;168;142;109;115;97;80;66;73;68;60;56;41;
Kalan;0;0;0;0;8;0;7;5;0;0;0;0;
Nikolai;0;7;8;5;6;0;0;6;10;0;8;8;
Sukhman;6;10;6;10;9;9;0;9;6;5;0;6;
Henrik;0;0;0;0;0;0;0;0;0;6;12;0;
Nikolas;15;15;19;15;14;16;16;15;18;22;15;16;
Deklan;0;0;0;0;6;0;0;0;0;0;0;0;
Bentley;0;0;0;0;0;0;0;0;8;28;42;72;
Zi;0;0;0;0;0;0;0;0;0;0;0;7;
Terence;6;0;6;0;0;0;0;0;0;5;0;0;
Kolby;17;7;8;10;9;0;9;7;5;0;0;5;
Tai;0;0;0;6;0;6;0;0;0;0;0;0;
Karman;0;0;0;0;0;0;0;6;9;0;0;5;
Mason;50;61;62;57;50;76;74;126;164;201;239;207;
Ethen;0;0;0;0;0;0;0;0;5;0;0;0;
Tavin;0;0;0;0;0;0;0;0;0;7;0;0;
Noel;7;9;0;0;0;0;0;0;0;0;6;0;
Brian;59;55;39;33;29;33;33;21;20;12;16;11;
Prince;0;0;0;0;0;0;0;5;0;0;0;0;
Derek;32;31;23;28;19;24;29;18;24;19;19;24;
Kevin;94;98;65;55;71;44;44;47;47;45;39;36;
Baron;0;0;0;0;0;0;0;0;0;0;5;0;
Rajveer;5;0;0;0;5;0;0;0;0;0;0;0;
Kenny;5;8;6;6;8;7;5;0;0;0;0;0;
Bronson;0;5;7;5;0;0;0;0;5;0;5;0;
Andreas;0;0;6;0;0;9;0;7;7;0;6;0;
Knox;0;0;0;0;0;0;0;0;0;9;9;8;
