Remington;0;0;0;0;0;0;0;0;0;0;5;0;5.0676435351;
Prabhjot;0;0;0;8;6;0;0;0;0;0;0;0;3.77275479037;
Davyn;0;0;0;0;0;0;0;0;0;0;0;5;3.6446554132;
Shaan;0;0;9;0;5;0;8;9;6;10;0;6;4.64024123825;
Patrick;36;32;28;23;36;33;27;31;33;29;20;32;20.2553604426;
Kelly;6;5;5;7;5;0;0;0;0;0;0;0;0;
Noel;7;9;0;0;0;0;0;0;0;0;6;0;0;
Leif;10;6;7;0;8;8;8;9;14;8;5;13;7.23412838104;
Thor;0;0;0;0;0;0;0;0;0;5;6;0;7.38638634293;
Dalton;12;13;9;7;6;0;7;8;9;0;0;7;0;
Rajvir;0;5;5;0;7;0;0;6;0;0;0;0;0;
Zackery;11;6;8;10;11;7;0;0;6;0;5;0;2.54514321106;
Korbin;0;0;0;0;0;0;5;0;0;0;0;0;0;
Cassius;0;0;0;0;0;5;9;0;10;0;0;5;3.02488486819;
Caden;14;21;28;30;17;38;30;22;26;32;16;14;22.6403313496;
Eden;0;0;0;0;0;0;0;0;0;0;6;0;6.08117224113;
Camden;0;0;0;0;0;0;0;9;5;0;8;0;2.435393927;
Carson;70;64;72;60;52;77;69;62;60;79;66;66;62.2020267859;
Kash;0;0;0;0;0;0;5;5;9;0;8;9;9.06363598441;
Finley;0;5;6;11;15;18;10;16;20;21;21;15;42.8887240921;
Kaleb;29;35;42;36;45;38;54;43;31;35;36;36;38.5553876015;
Graydon;5;0;0;0;0;0;5;10;9;5;0;5;0.404021789578;
Reilly;11;5;0;0;0;0;0;0;5;5;0;0;0;
Raven;5;0;0;0;5;0;0;0;0;0;0;0;0;
Jordon;0;8;0;5;6;6;0;5;6;0;0;0;0;
Andre;6;9;7;21;7;6;8;7;11;10;10;5;10.5837198182;
Harshaan;0;0;0;0;0;0;0;5;8;5;10;7;14.687627827;
Aayan;0;0;0;0;0;5;0;0;0;0;5;0;5.32194087258;
Yahya;0;0;0;0;0;0;0;0;5;0;0;0;0;
Drayden;0;6;0;0;0;0;0;6;0;0;0;7;0;
Markus;12;37;48;42;35;52;44;31;26;30;24;24;38.3912648977;
Mikhail;0;0;0;0;0;0;0;0;0;5;0;0;2.48686881901;
Porter;0;0;0;0;5;0;0;0;7;6;6;0;9.49378988651;
Boden;0;0;0;0;0;0;0;0;5;0;0;0;0;
Theodore;6;15;12;10;16;16;18;13;25;25;38;35;67.0967229318;
